# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(189/10000)	28.228596	24.181	
(190/10000)	19.203152	19.406	
(191/10000)	37.344301	26.528	
(192/10000)	49.785574	32.712	
(193/10000)	44.846385	30.740	
(194/10000)	47.809962	33.018	
(195/10000)	39.995429	28.449	
(196/10000)	54.904116	36.108	
(197/10000)	30.046768	22.811	
(198/10000)	32.181044	24.662	
(199/10000)	32.204564	25.321	
(200/10000)	38.301589	29.301	
(201/10000)	46.712791	32.067	
(202/10000)	30.009965	23.632	
(203/10000)	35.217453	25.430	
(204/10000)	35.100000	25.089	
(205/10000)	34.548153	26.379	
(206/10000)	66.292029	40.169	
(207/10000)	44.436312	30.861	
(208/10000)	44.534489	30.353	
(209/10000)	47.337300	32.568	
(210/10000)	31.443215	24.567	
(211/10000)	38.996548	27.536	
(212/10000)	24.401378	21.032	
(213/10000)	38.664537	26.682	
(214/10000)	33.833947	27.387	
(215/10000)	31.840211	25.907	
(216/10000)	71.722077	43.571	
(217/10000)	32.577657	24.846	
(218/10000)	63.239977	38.141	
(219/10000)	30.635758	24.068	
(220/10000)	48.612874	32.804	
(221/10000)	33.928309	25.770	
(222/10000)	29.704259	23.992	
(223/10000)	61.280571	39.031	
(224/10000)	28.560585	23.254	
(225/10000)	31.844899	23.921	
(226/10000)	34.609798	26.223	
(227/10000)	27.014210	22.413	
(228/10000)	23.861531	22.184	
(229/10000)	66.651983	42.049	
(230/10000)	31.339485	24.973	
(231/10000)	27.553626	24.946	
(232/10000)	44.600000	29.500	
(233/10000)	23.994335	20.383	
(234/10000)	37.281670	28.520	
(235/10000)	35.438664	26.442	
(236/10000)	15.710466	16.713	
