# === PPO_STATS_BEGIN ===
total_completed=704
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=45.298
best_survival_ts=2025-12-24 14:02:57
best_survival_run=2025-12-24 12:51:09
best_survival_ep=(133/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(103/10000)	59.368481	23.827	
(104/10000)	62.374123	25.747	
(105/10000)	55.198692	21.385	
(106/10000)	60.291240	24.282	
(107/10000)	43.750680	18.812	
(108/10000)	72.078203	27.281	
(109/10000)	61.458693	24.422	
(110/10000)	83.278277	31.444	
(111/10000)	57.491049	22.439	
(112/10000)	63.998882	24.543	
(113/10000)	78.770262	30.922	
(114/10000)	56.307579	22.729	
(115/10000)	51.437670	21.752	
(116/10000)	39.397495	15.901	
(117/10000)	59.602538	24.855	
(118/10000)	52.397287	21.341	
(119/10000)	51.950254	20.312	
(120/10000)	55.878829	23.956	
(121/10000)	44.095155	18.002	
(122/10000)	70.876600	27.870	
(123/10000)	81.859642	31.913	
(124/10000)	92.602169	34.489	
(125/10000)	61.275699	24.636	
(126/10000)	52.147847	22.340	
(127/10000)	60.664475	24.438	
(128/10000)	53.453428	23.555	
(129/10000)	57.800000	23.461	
(130/10000)	80.849867	30.488	
(131/10000)	74.210730	28.886	
(132/10000)	62.099912	24.874	
(133/10000)	108.777643	45.298	
(134/10000)	64.800000	24.831	
(135/10000)	69.700000	27.730	
(136/10000)	52.900000	20.812	
(137/10000)	79.500000	31.061	
(138/10000)	47.398815	19.346	
(139/10000)	77.372808	31.505	
(140/10000)	66.600000	26.507	
(141/10000)	49.243272	22.314	
(142/10000)	55.578434	22.517	
(143/10000)	101.314887	39.133	
(144/10000)	66.478116	25.248	
(145/10000)	63.054174	26.063	
(146/10000)	54.435150	22.345	
(147/10000)	99.278362	39.191	
(148/10000)	53.564073	21.786	
(149/10000)	5.200000	1.776	ABORTED

========
[RUN] 2025-12-24 14:12:24  episodes=3 eval=True
[STATS] total_completed=552 | best_reward=127.243 | best_survival=45.30s
idx	reward	survival_sec	note
(1/3)	68.447477	26.312	EVAL
(2/3)	106.365765	41.018	EVAL
(3/3)	64.000000	24.978	EVAL

========
[RUN] 2025-12-24 14:14:47  episodes=10000 eval=False
[STATS] total_completed=552 | best_reward=127.243 | best_survival=45.30s
idx	reward	survival_sec	note
(1/10000)	59.738374	25.763	
(2/10000)	84.580633	31.578	
(3/10000)	67.599581	26.630	
(4/10000)	51.488227	20.248	
(5/10000)	45.904727	20.283	
(6/10000)	50.327967	20.330	
(7/10000)	45.649260	17.806	
(8/10000)	61.897789	23.582	
(9/10000)	59.300000	22.776	
(10/10000)	80.885039	30.451	
(11/10000)	81.852148	32.036	
(12/10000)	54.555691	21.982	
(13/10000)	58.400000	22.660	
(14/10000)	63.441373	25.476	
(15/10000)	69.756855	27.038	
(16/10000)	45.498001	20.361	
(17/10000)	52.880323	21.908	
(18/10000)	58.416011	23.241	
(19/10000)	62.099288	23.819	
(20/10000)	99.794615	37.921	
(21/10000)	59.047585	23.546	
(22/10000)	71.780524	28.513	
(23/10000)	45.855916	20.620	
(24/10000)	67.855518	26.881	
(25/10000)	54.463608	23.201	
(26/10000)	45.507150	19.450	
(27/10000)	42.421449	17.699	
(28/10000)	58.687228	23.742	
(29/10000)	60.895504	24.591	
(30/10000)	41.243083	17.416	
(31/10000)	59.890332	23.214	
(32/10000)	57.184131	23.050	
(33/10000)	55.198759	21.411	
(34/10000)	58.199600	23.742	
(35/10000)	43.296034	17.251	
(36/10000)	79.868132	30.206	
(37/10000)	49.374943	20.636	
(38/10000)	85.927951	32.280	
(39/10000)	56.192974	23.661	
(40/10000)	64.387246	25.220	
(41/10000)	65.800000	26.102	
(42/10000)	63.099500	25.282	
(43/10000)	60.693731	24.042	
(44/10000)	44.698039	18.986	
(45/10000)	46.200318	18.992	
(46/10000)	44.046789	18.598	
(47/10000)	49.550838	20.161	
(48/10000)	64.327631	24.973	
(49/10000)	102.022506	38.998	
(50/10000)	49.900000	20.688	
(51/10000)	44.960663	19.242	
(52/10000)	58.768794	23.493	
(53/10000)	54.992336	22.457	
(54/10000)	49.295194	19.457	
(55/10000)	102.181381	39.295	
